"Star","rs"
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  foaf: <http://xmlns.com/foaf/0.1/>

SELECT  ?cityName ?name
WHERE
  { ?person  rdf:type         dbpo:Person ;
             dbpo:birthPlace  ?city ;
             foaf:name        ?name .
    ?city    rdfs:label       ?cityName
  }
",23587096
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  *
WHERE
  { dbpr:Paul_Walker
              rdfs:label       ?label .
    ?starring  dbprop:starring  dbpr:Paul_Walker ;
              dbpo:abstract    ?abstract
  }
",2640
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT  ?c
WHERE
  { ?c     rdfs:label   ""Greek MPs 2015–""@en .
    ?name  dct:subject  ?c
  }
",78
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  foaf: <http://xmlns.com/foaf/0.1/>

SELECT  ?a ?f
WHERE
  { ?a  rdf:type       foaf:Person .
    ?f  dbpo:starring  ?a
  }
",356527
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?p ?l
WHERE
  { ?p  rdf:type           dbpo:Person .
    ?l  rdf:type           dbpo:Place .
    ?p  dbprop:birthplace  ?l
  }
",100
"PREFIX  :     <http://dbpedia.org/resource/>
PREFIX  foaf: <http://xmlns.com/foaf/0.1/>

SELECT  *
WHERE
  { :Christopher_Evans
              foaf:isPrimaryTopicOf  ?x .
    ?x        ?y                    ?z
  }
",3
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?nama
WHERE
  { dbpr:Panama  dbpo:leader  ?o .
    ?o        dbprop:name  ?nama
  }
",4
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?nama
WHERE
  { dbpr:Japan  dbpo:leader  ?o .
    ?o        dbprop:name  ?nama
  }
",3
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  category: <http://dbpedia.org/resource/Category:>

SELECT  ?person ?awards
WHERE
  { ?person  dbpo:award   ?awards .
    ?awards  dct:subject  category:Nobel_Prize
  }
",636
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     dbpo:RouteOfTransportation
  }
",2
"PREFIX  wde:  <http://www.wikidata.org/entity/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     wde:Q13415036
  }
",19
"PREFIX  wde:  <http://www.wikidata.org/entity/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     wde:Q11774891
  }
",26
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbc:  <http://dbpedia.org/resource/Category:>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT  ?film ?directorName
WHERE
  { ?film     rdf:type       dbpo:Film ;
              dct:subject    dbc:Greek_films ;
              dbpo:director  ?director .
    ?director  rdfs:label    ?directorName
  }
",694
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     dbpo:ProtectedArea
  }
",4
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     dbpo:MilitaryUnit
  }
",4
"PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>
PREFIX  umbelrc: <http://umbel.org/umbel/rc/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     umbelrc:Village
  }
",10
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     dbpo:Politician
  }
",48
"PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>
PREFIX  umbelrc: <http://umbel.org/umbel/rc/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     umbelrc:Boxer
  }
",5
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  *
WHERE
  { dbpr:Paul_Walker
              rdfs:label       ?label .
    ?starring  dbprop:starring  dbpr:Paul_Walker
  }
",312
