"Star","rs"
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  foaf: <http://xmlns.com/foaf/0.1/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?name ?img ?link
WHERE
  { ?place  rdf:type              dbpo:Building ;
            dbprop:locationTown   dbpr:Stockholm ;
            rdfs:label            ?name ;
            dbpo:thumbnail        ?img ;
            foaf:isPrimaryTopicOf  ?link
  }
",92
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  foaf: <http://xmlns.com/foaf/0.1/>

SELECT  ?cityName ?name
WHERE
  { ?person  rdf:type         dbpo:Person ;
             dbpo:birthPlace  ?city ;
             foaf:name        ?name .
    ?city    rdfs:label       ?cityName
  }
",23587096
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  *
WHERE
  { ?company  rdf:type              dbpo:Organisation ;
              dbpo:foundationPlace  dbpr:California .
    ?product  dbpo:developer        ?company ;
              rdf:type              dbpo:Software
  }
",144
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  foaf: <http://xmlns.com/foaf/0.1/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?label
WHERE
  { ?player  rdf:type              dbpo:SoccerPlayer ;
             <http://dbpedia.org/ontology/Person/height>  ?height ;
             dbpo:position         ?position ;
             foaf:givenName        ?gn ;
             dbprop:nationalteam   ?NationalTeam ;
             dbprop:placeOfBirth   ?placeOfBirth ;
             rdfs:label            ?label
  }
",217532
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?X ?name ?alcalde ?poblacion
WHERE
  { ?X  dbprop:officialName   ?name ;
        rdf:type              dbpo:Place ;
        dbprop:leaderName     ?alcalde ;
        dbpo:populationTotal  ?poblacion
  }
",10111
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?place ?img
WHERE
  { ?place  rdf:type             dbpo:Building ;
            dbprop:locationTown  dbpr:Stockholm ;
            dbpo:thumbnail       ?img
  }
",19
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  *
WHERE
  { dbpr:Paul_Walker
              rdfs:label       ?label .
    ?starring  dbprop:starring  dbpr:Paul_Walker ;
              dbpo:abstract    ?abstract
  }
",2640
"PREFIX  grs:  <http://www.georss.org/georss/>
PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  *
WHERE
  { dbpr:Uzbekistan
              rdf:type      dbpo:Place ;
              dbpo:capital  ?capital .
    ?capital  rdf:type      dbpo:PopulatedPlace ;
              grs:point     ?coord
  }
",2
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?name
WHERE
  { dbpr:Sweden  rdfs:label         ?name ;
              dbpo:populationTotal  ?population ;
              dbpo:flag             ?flag
  }
",12
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  foaf: <http://xmlns.com/foaf/0.1/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?place ?img ?link
WHERE
  { ?place  rdf:type              dbpo:Building ;
            dbprop:locationTown   dbpr:Stockholm ;
            dbpo:thumbnail        ?img ;
            foaf:isPrimaryTopicOf  ?link
  }
",19
